"id";"titulo";"area";"categoria";"palavras_busca";"situacao";"como_agir";"roteiro_acoes";"comunicacao_familia";"alerta";"publicado";"fonte"
"oficial-01";"Protocolo de mordida";"Pedagógico";"Cuidado e convivência";"mordida, mordeu, morder, machucou, ferimento";"revisao";"Acolha as crianças, interrompa a situação com calma e comunique a coordenação. A parte do documento que indica produtos ou pomadas permanece bloqueada até validação técnica.";"Separe as crianças com tranquilidade e garanta supervisão próxima. | Faça o cuidado inicial permitido pela política de primeiros socorros da unidade. | Registre o contexto, o horário e os adultos presentes. | Avise a coordenação e comunique as famílias conforme o protocolo validado. | Reorganize a rotina e a supervisão para reduzir novas ocorrências.";"Olá, [nome do responsável]. Quero informar com transparência que hoje ocorreu uma situação de mordida envolvendo a criança. A equipe interveio imediatamente, acolheu as crianças, realizou os cuidados permitidos e registrou o contexto. A coordenação está acompanhando o caso e reforçará as estratégias de supervisão e convivência. Permanecemos disponíveis para conversar e manteremos você informado sobre o acompanhamento.";"Não aplique medicamentos ou pomadas com base nesta demonstração. Siga apenas a orientação validada pela escola e pelos responsáveis técnicos.";"sim";"4.2-PROTOCOLO DE MORDIDA.docx"
"oficial-02";"Protocolo de administração de medicamentos";"Pedagógico";"Saúde e segurança";"medicamento, remédio, medicação, febre, dose, receita, antibiótico";"revisao";"Este tema exige validação técnica e autorização formal. A demonstração não orienta dose, medicamento ou administração.";"Acione imediatamente a coordenação da unidade. | Confirme a orientação registrada pelos responsáveis e a documentação exigida. | Não improvise medicamento, dose, horário ou forma de administração. | Registre a ocorrência e os contatos realizados. | Em sinais de gravidade, siga o fluxo de emergência da unidade.";"Olá, [nome do responsável]. Escrevemos sobre a administração de medicamento à criança na escola. A coordenação está conferindo a autorização e a documentação necessárias antes de qualquer procedimento, seguindo o protocolo da Rede Fadelito, e nenhuma medicação é administrada sem essa validação formal. Pedimos que envie ou confirme a receita e as orientações atualizadas pelo canal institucional. Qualquer dúvida, estamos à disposição para conversar.";"Conteúdo médico em revisão. O Assistente Fadelito nunca deve substituir orientação profissional ou o atendimento de emergência.";"sim";"4.4-PROTOCOLO DE ADMINISTRAÇÃO DE REMÉDIOS.docx"
"oficial-03";"Protocolo de emergências";"Em comum";"Saúde e segurança";"emergência, acidente, queda, corte, sangue, desmaio, socorro, bateu a cabeça";"revisao";"Priorize a segurança da criança, acione o fluxo de emergência da unidade e comunique a direção. Em risco imediato, procure socorro profissional.";"Mantenha a criança acompanhada e afaste riscos do local. | Acione a coordenação e a equipe treinada para primeiros socorros. | Classifique a situação conforme o protocolo validado da unidade. | Comunique os responsáveis e registre horários, sinais e providências. | Se houver risco imediato, acione o serviço de emergência aplicável.";"Olá, [nome do responsável]. Precisamos informar que houve uma situação de emergência envolvendo a criança durante a rotina escolar. A equipe agiu imediatamente, prestou os primeiros cuidados e acionou a coordenação, seguindo o fluxo de emergência da unidade. Pedimos que entre em contato o quanto antes pelo canal institucional para alinharmos os próximos passos. Continuaremos acompanhando de perto e retornaremos com mais informações assim que possível.";"Esta demonstração não diagnostica nem substitui profissionais de saúde ou serviços de emergência.";"sim";"8-PROTOCOLO PARA EMERGENCIAS.docx"
"oficial-04";"Protocolo de adaptação";"Pedagógico";"Família e acolhimento";"adaptação, chorando, choro, não quer entrar, chegada, família insegura";"validado";"A adaptação deve respeitar o ritmo e as particularidades de cada criança e família, fortalecendo gradualmente o vínculo com o espaço, os educadores e o grupo.";"Acolha a criança e a família com calma, sem apressar a despedida. | Identifique o que traz segurança para a criança naquele momento. | Apresente os espaços, o educador de referência e a rotina aos poucos. | Observe e registre sinais de evolução ou dificuldade. | Alinhe com a coordenação e a família os próximos passos.";"Olá, [nome do responsável]. Gostaríamos de compartilhar como está o processo de adaptação da criança à rotina escolar. A equipe tem acompanhado de perto os sinais de segurança e conforto, apresentando aos poucos os espaços, os educadores e o grupo. Vamos alinhar com você os próximos passos para que essa fase siga tranquila. Estamos à disposição para conversar sempre que precisar.";"";"sim";"1.1-PROTOCOLO DE ADAPTAÇÃO.docx"
"oficial-05";"Protocolo de fotos";"Pedagógico";"Comunicação e privacidade";"foto, fotos, imagem, vídeo, câmera, câmeras, filmagem, monitoramento, divulgação, autorização, rede social";"validado";"Antes de registrar, consultar ou divulgar imagens, confirme a finalidade, a autorização da família e as regras de acesso. Preserve a privacidade de cada criança e encaminhe solicitações sobre câmeras à direção.";"Confirme o motivo da consulta ou do registro de imagem. | Confira as autorizações e as regras de acesso antes de visualizar, copiar ou divulgar qualquer material. | Preserve o arquivo original e restrinja o acesso às pessoas autorizadas. | Não compartilhe imagens por contas, aparelhos ou grupos pessoais. | Registre a solicitação e encaminhe decisões sobre câmeras e fornecimento de imagens à direção. | Comunique a família com fatos confirmados, sem prometer acesso ou entrega antes da validação.";"Olá, [nome do responsável]. Recebemos sua solicitação relacionada a imagens da criança. Estamos conferindo as autorizações e as regras de acesso antes de qualquer visualização, cópia ou entrega de material, conforme a política de privacidade da Rede Fadelito. Retornaremos pelo canal institucional assim que a verificação estiver concluída, sem antecipar prazos ou conteúdo antes dessa confirmação. Agradecemos a compreensão.";"";"sim";"8.2-PROTOCOLO DE FOTOGRAFIAS COM ANEXO.docx"
"oficial-06";"Protocolo de desfralde";"Pedagógico";"Desenvolvimento infantil";"desfralde, fralda, banheiro, xixi, cocô, escape, pitoco, pituca, penico, roupa íntima";"validado";"O desfralde é uma conquista de autonomia e deve começar somente quando a criança apresentar sinais de prontidão. Escola e família precisam combinar a mesma rotina, usar reforço positivo e respeitar o tempo individual, sem comparações ou punições.";"Observe os sinais: incômodo com a fralda suja, aviso após fazer xixi ou cocô, pedido para usar o banheiro, períodos com a fralda seca e autonomia básica para lidar com a roupa. | Agende uma conversa com a família, faça a escuta inicial, explique como o processo funciona na escola e defina em conjunto a data de início. | Oriente o preparo de casa e escola: vaso ou adaptador seguro, apoio para os pés, roupas fáceis de retirar, trocas extras, lenços e sacos separados para peças sujas. | Conduza as idas ao banheiro em rotina positiva, com supervisão, privacidade e incentivo. Meninos e meninas iniciam sentados; nunca force, ridicularize ou puna. | Em caso de escape, acolha com naturalidade, faça a higiene e a troca imediatamente, armazene as peças conforme o procedimento da unidade e informe a família. | Registre diariamente a evolução e os escapes. Utilize o Projeto Pitoco e Pituca e o diário como apoio de vínculo e comunicação, conforme o planejamento da turma. | Reavalie com a coordenação e a família se houver sofrimento, resistência persistente, regressão ou falta de alinhamento entre os ambientes.";"Olá, [nome do responsável]. Gostaríamos de alinhar o processo de desfralde da criança. Observamos sinais de prontidão e queremos construir uma rotina coerente entre a escola e a família, sempre respeitando o tempo individual, sem pressão ou comparação. Podemos combinar a data de início, as roupas e materiais necessários e a forma de registrar a evolução. Conte conosco para acompanhar cada etapa com acolhimento.";"O protocolo consultado é de 2020. Antes de aplicar horários rígidos ou procedimentos de higiene, confirme a versão vigente e as orientações atuais da direção pedagógica.";"sim";"10.0-PROTOCOLO DO DESFRALDE.docx + materiais Pitoco e Pituca"
"oficial-07";"Protocolo de uso do parque";"Pedagógico";"Rotina pedagógica";"parque, brinquedo, escorregador, pátio, recreio, supervisão";"validado";"O parque é um momento de aprendizagem e autonomia assistida. A equipe deve organizar o espaço, manter supervisão ativa e considerar as necessidades do grupo.";"Verifique o espaço e os brinquedos antes da entrada da turma. | Combine regras simples e adequadas à faixa etária. | Distribua os adultos para manter supervisão ativa. | Acompanhe interações e riscos sem impedir a exploração segura. | Interrompa o uso se o ambiente deixar de oferecer segurança.";"";"";"sim";"5.2-PROTOCOLO USO DO PARQUE.docx"
"oficial-08";"Protocolo de alunos faltantes";"Em comum";"Família e acolhimento";"faltou, faltas, ausente, não veio, aluno faltante, frequência";"validado";"As ausências recorrentes devem ser acompanhadas para compreender suas causas, preservar a rotina da criança e manter uma comunicação acolhedora com a família.";"Confirme a frequência e identifique o padrão de ausências. | Entre em contato com a família de maneira acolhedora. | Investigue se há dificuldade de adaptação, vínculo ou rotina. | Registre o contato e os combinados realizados. | Leve casos persistentes à coordenação.";"Olá, [nome do responsável]. Notamos algumas ausências da criança nos últimos dias e gostaríamos de entender como podemos ajudar. Se houver alguma dificuldade de rotina, saúde ou adaptação, estamos à disposição para conversar e buscar juntos uma solução. Seu retorno nos ajuda a manter o acompanhamento pedagógico em dia.";"";"sim";"6.3PROTOCOLO ALUNOS FALTANTES.docx"
"oficial-09";"Protocolo de crise e conduta inadequada";"Pedagógico";"Proteção e conduta";"gritou, puxou, apertou, castigo, maus-tratos, denúncia, funcionária, câmera";"revisao";"Acolha o relato sem contestar ou antecipar conclusões, proteja a criança e acione imediatamente a direção responsável pelo fluxo de apuração.";"Escute e registre o relato com palavras objetivas. | Confirme horário, local e pessoas possivelmente presentes. | Garanta a proteção imediata da criança. | Preserve registros e comunique a direção sem demora. | Mantenha confidencialidade e siga o procedimento formal de apuração.";"Olá, [nome do responsável]. Precisamos conversar sobre uma situação reportada envolvendo a criança. A equipe acolheu o relato, registrou os fatos com cuidado e encaminhou o caso à direção para apuração formal, sem antecipar conclusões. Por se tratar de um tema de proteção infantil, seguiremos o fluxo institucional e retornaremos com informações assim que a apuração permitir. Permanecemos à disposição para dialogar diretamente com você.";"Tema de proteção infantil. A resposta original do documento precisa ser revisada antes de uso operacional.";"sim";"2.1-PROTOCOLO GESTAO DE CRISE - PAIS E FUNCIONARIOS.docx"
"oficial-10";"Protocolo de visita e pós-visita";"Em comum";"Família e acolhimento";"visita, agendamento, família nova, matrícula";"validado";"O atendimento deve ser acolhedor desde a portaria, com agendamento organizado e continuidade após a visita.";"Confirme o agendamento, o nome dos responsáveis, a faixa etária e o horário pretendido. | Avise portaria, recepção, coordenação e financeiro para que o atendimento esteja preparado. | Receba a família pelo nome, escute suas necessidades e apresente somente informações confirmadas. | Conduza a visita com segurança, sem deixar visitantes desacompanhados nas áreas de crianças. | Registre o atendimento, as dúvidas e o próximo passo combinado com a família. | Faça o retorno pelo canal institucional dentro do prazo definido pela unidade.";"Olá, [nome do responsável]. Foi um prazer receber sua visita à unidade. Registramos suas dúvidas e o que foi combinado durante o atendimento, e retornaremos pelo canal institucional dentro do prazo combinado. Se surgir alguma pergunta antes disso, estamos à disposição para ajudar.";"";"sim";"1-PROTOCOLO DE VISITA.docx"
